Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/26/2026,01/27/2026,LATAM AIRLIN,Travel,Sale,-18.36,
01/24/2026,01/25/2026,Payment Thank You-Mobile,,Payment,261.00,
01/23/2026,01/23/2026,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-165.86,
01/23/2026,01/23/2026,FACEBK *DLPLFEV8Z2,Professional Services,Sale,-278.00,
01/22/2026,01/22/2026,FACEBK *X28KKB98Z2,Professional Services,Sale,-278.00,
01/21/2026,01/21/2026,STATEMENT CREDIT,Fees & Adjustments,Adjustment,108.86,
01/20/2026,01/21/2026,FACEBK *R5MU2CD8Z2,Professional Services,Sale,-255.87,
01/20/2026,01/20/2026,AUTOMATIC PAYMENT - THANK,,Payment,247.00,
01/01/2026,01/01/2026,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
12/23/2025,12/23/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-159.81,
12/19/2025,12/19/2025,AUTOMATIC PAYMENT - THANK,,Payment,257.00,
12/06/2025,12/07/2025,GOOGLE *ADS3519669509,Professional Services,Return,2.38,
11/28/2025,11/30/2025,AIRALO,Shopping,Sale,-33.00,
11/23/2025,11/23/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-168.56,
11/20/2025,11/20/2025,AUTOMATIC PAYMENT - THANK,,Payment,254.00,
11/06/2025,11/07/2025,AIRBNB * HMXRZWWAPK,Travel,Return,152.33,
11/02/2025,11/02/2025,AIRBNB * HMXRZWWAPK,Travel,Sale,-208.61,
10/23/2025,10/23/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-165.48,
10/20/2025,10/20/2025,AUTOMATIC PAYMENT - THANK,,Payment,262.00,
09/23/2025,09/23/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-172.42,
09/19/2025,09/19/2025,AUTOMATIC PAYMENT - THANK,,Payment,250.00,
08/22/2025,08/22/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-159.67,
08/20/2025,08/20/2025,AUTOMATIC PAYMENT - THANK,,Payment,218.00,
08/15/2025,08/17/2025,TURO INC.* TRIP AUG 12,Travel,Sale,-100.00,
08/12/2025,08/14/2025,TURO INC.* TRIP AUG 12,Travel,Return,89.10,
08/12/2025,08/14/2025,BEACH BUNGALOW HOSTEL,Travel,Sale,-60.00,
08/12/2025,08/13/2025,TURO INC.* TRIP AUG 12,Travel,Sale,-450.62,
08/12/2025,08/13/2025,TURO INC.* TRIP AUG 12,Travel,Sale,-89.10,
08/11/2025,08/12/2025,GLAZED COFFEE &amp; CREAMERY,Food & Drink,Sale,-8.29,
08/11/2025,08/12/2025,UBER   *TRIP,Travel,Sale,-11.92,
08/11/2025,08/12/2025,SQ *NICO?S FISH MARKET,Food & Drink,Sale,-20.15,
08/10/2025,08/11/2025,TST* BAJA BEACH CAFE - SA,Food & Drink,Sale,-35.98,
08/08/2025,08/10/2025,MISSION SURF,Groceries,Sale,-99.74,
08/06/2025,08/10/2025,SOUTHWES    5262374554296,Travel,Sale,-588.36,
08/08/2025,08/10/2025,BEACH BUNGALOW HOSTEL,Travel,Sale,-48.23,
08/08/2025,08/10/2025,BEACH BUNGALOW HOSTEL,Travel,Sale,-63.58,
08/09/2025,08/10/2025,TST* BAJA BEACH CAFE - SA,Food & Drink,Sale,-36.24,
08/08/2025,08/10/2025,UBER   *TRIP,Travel,Sale,-31.97,
08/06/2025,08/07/2025,BEACH BUNGALOW HOSTEL,Travel,Sale,-36.72,
08/06/2025,08/07/2025,WWW.HOSTELWORLD.COM,Travel,Sale,-13.51,
07/30/2025,07/31/2025,DD *DOORDASH MADCHICKE,Food & Drink,Sale,-24.32,
07/23/2025,07/23/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-143.57,
07/17/2025,07/17/2025,Payment Thank You-Mobile,,Payment,600.00,
07/15/2025,07/16/2025,ELITE NORTH SHORE LLC,Health & Wellness,Sale,-191.36,
06/23/2025,06/23/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-148.05,
06/20/2025,06/20/2025,AUTOMATIC PAYMENT - THANK,,Payment,218.00,
06/16/2025,06/17/2025,ELITE NORTH SHORE LLC,Health & Wellness,Sale,-191.36,
05/23/2025,05/23/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-141.97,
05/20/2025,05/20/2025,AUTOMATIC PAYMENT - THANK,,Payment,218.00,
05/06/2025,05/07/2025,SPARROW HILL FARM,Groceries,Sale,-206.85,
04/27/2025,04/29/2025,BP#8513194BP PANTRY 41#1,Gas,Sale,-41.37,
04/26/2025,04/27/2025,TARGET        00025866,Shopping,Sale,-95.31,
04/23/2025,04/23/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-144.64,
04/22/2025,04/22/2025,Payment Thank You-Mobile,,Payment,500.00,
04/21/2025,04/22/2025,ELITE NORTH SHORE LLC,Health & Wellness,Sale,-284.00,
04/20/2025,04/20/2025,AUTOMATIC PAYMENT - THANK,,Payment,200.00,
04/08/2025,04/09/2025,SPARROW HILL FARM,Groceries,Sale,-205.16,
03/29/2025,03/31/2025,FRESH THYME #701,Groceries,Sale,-182.53,
03/23/2025,03/23/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-127.53,
03/20/2025,03/20/2025,AUTOMATIC PAYMENT - THANK,,Payment,214.00,
02/23/2025,02/23/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-141.32,
02/20/2025,02/20/2025,AUTOMATIC PAYMENT - THANK,,Payment,190.00,
02/10/2025,02/11/2025,TARGET        00028779,Shopping,Return,33.89,
01/29/2025,01/30/2025,TST* VELVET TACO - DALLAS,Food & Drink,Sale,-18.67,
01/29/2025,01/30/2025,POINTS RAPID REWARDS,Personal,Sale,-60.00,
01/29/2025,01/29/2025,Rapid Rewards by Pts,Personal,Sale,-270.00,
01/28/2025,01/29/2025,7-ELEVEN 25170,Gas,Sale,-4.33,
01/27/2025,01/29/2025,SQ *CREATIVE MARKETING,Groceries,Sale,-64.95,
01/27/2025,01/29/2025,RIVIERA SPA,Health & Wellness,Sale,-80.00,
01/27/2025,01/29/2025,SQ *SHAKE SHACK,Food & Drink,Sale,-32.97,
01/24/2025,01/26/2025,PARKIT MARKET,Groceries,Sale,-5.39,
01/24/2025,01/26/2025,WELKES HOUSE OF ROSES,Shopping,Sale,-108.00,
01/22/2025,01/24/2025,UNITED      0162453706650,Travel,Sale,-113.53,
01/23/2025,01/23/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-123.87,
01/22/2025,01/23/2025,TRAVEL GUARD GROUP INC,Bills & Utilities,Sale,-14.00,
01/17/2025,01/19/2025,QT 1903 OUTSIDE,Gas,Sale,-13.61,
01/15/2025,01/15/2025,PEROT MUSEUM,Entertainment,Sale,-50.00,
01/12/2025,01/14/2025,TOM THUMB 3296,Groceries,Sale,-50.86,
01/07/2025,01/08/2025,KROGER #0518,Groceries,Sale,-37.03,
01/05/2025,01/07/2025,TRADER JOE S #403,Groceries,Sale,-21.45,
01/04/2025,01/05/2025,Payment Thank You-Mobile,,Payment,500.00,
01/02/2025,01/05/2025,RAISING CANES 0076,Food & Drink,Sale,-12.54,
01/02/2025,01/05/2025,TRADER JOE S #403,Groceries,Sale,-134.41,
01/02/2025,01/03/2025,CENTRAL MARKET #552,Groceries,Sale,-16.51,
01/01/2025,01/03/2025,SHELL OIL 57545272205,Gas,Sale,-29.77,
12/31/2024,01/03/2025,CANELA CAFE,Food & Drink,Sale,-53.32,
12/31/2024,01/02/2025,SWA*PETS    5264263173334,Travel,Sale,-125.00,
01/01/2025,01/02/2025,TARGET        00017848,Groceries,Sale,-44.48,
01/01/2025,01/02/2025,CTLP*QualiTel Communic,Food & Drink,Sale,-2.00,
01/01/2025,01/02/2025,CTLP*QualiTel Communic,Food & Drink,Sale,-2.00,
01/01/2025,01/01/2025,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
12/30/2024,12/31/2024,SENDIKS ON DOWNER LLC,Groceries,Sale,-60.60,
12/30/2024,12/31/2024,DOWNER WINE &amp; SPIRITS,Food & Drink,Sale,-49.11,
12/29/2024,12/31/2024,ALREEM LOUNGE AND RESTAUR,Food & Drink,Sale,-73.76,
12/29/2024,12/30/2024,ALREEM LOUNGE 8 REST,Food & Drink,Sale,-21.21,
12/28/2024,12/29/2024,TJ MAXX #314,Shopping,Sale,-107.89,
12/27/2024,12/29/2024,ART BAR CAFE  GALLERY,Food & Drink,Sale,-65.80,
12/28/2024,12/29/2024,TJ MAXX #314,Shopping,Sale,-45.30,
12/25/2024,12/27/2024,BP#6121164KAL'S LOCUST B,Gas,Sale,-25.67,
12/26/2024,12/27/2024,ALREEM LOUNGE 8 REST,Food & Drink,Sale,-21.21,
12/26/2024,12/27/2024,ALREEM LOUNGE 8 REST,Food & Drink,Sale,-8.48,
12/24/2024,12/25/2024,ALREEM LOUNGE 8 REST,Food & Drink,Sale,-8.48,
12/24/2024,12/24/2024,Payment Thank You-Mobile,,Payment,500.00,
12/24/2024,12/24/2024,Payment Thank You-Mobile,,Payment,400.00,
12/23/2024,12/23/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-132.55,
12/21/2024,12/22/2024,SMOKIN BRADY,Shopping,Sale,-2.70,
12/20/2024,12/22/2024,TARGET        00028779,Shopping,Sale,-102.70,
12/21/2024,12/22/2024,TST* UP DOWN MILWAUKEE,Food & Drink,Sale,-6.10,
12/20/2024,12/22/2024,UBER   *TRIP,Travel,Sale,-25.28,
12/21/2024,12/22/2024,TST* UP DOWN MILWAUKEE,Food & Drink,Sale,-6.18,
12/20/2024,12/22/2024,VLIET SERVICE STATION LL,Gas,Sale,-19.47,
12/21/2024,12/22/2024,TST* UP DOWN MILWAUKEE,Food & Drink,Sale,-9.24,
12/21/2024,12/22/2024,TST* UP DOWN MILWAUKEE,Food & Drink,Sale,-7.21,
12/18/2024,12/20/2024,TRADER JOE S #711,Groceries,Sale,-166.20,
12/17/2024,12/19/2024,CANELA CAFE,Food & Drink,Sale,-44.88,
12/17/2024,12/19/2024,ALREEM LOUNGE AND RESTAUR,Food & Drink,Sale,-56.86,
12/17/2024,12/18/2024,SQ *ROAST COFFEE COMPANY,Food & Drink,Sale,-5.40,
12/16/2024,12/17/2024,SQ *ROAST COFFEE COMPANY,Food & Drink,Sale,-7.55,
12/16/2024,12/17/2024,ALREEM LOUNGE 8 REST,Food & Drink,Sale,-16.95,
12/16/2024,12/17/2024,SQ *ROAST COFFEE COMPANY,Food & Drink,Sale,-13.65,
12/16/2024,12/16/2024,Payment Thank You-Mobile,,Payment,200.00,
12/15/2024,12/16/2024,CULVERS OF SHOREWOOD,Food & Drink,Sale,-24.54,
12/15/2024,12/16/2024,SENDIKS ON DOWNER LLC,Groceries,Sale,-20.34,
12/13/2024,12/16/2024,CAFE HOLLANDER DOWNER,Food & Drink,Sale,-70.76,
12/15/2024,12/16/2024,ALREEM LOUNGE 8 REST,Food & Drink,Sale,-8.48,
12/13/2024,12/15/2024,TST* CHEBA HUT -MILWAUKEE,Food & Drink,Sale,-12.07,
12/13/2024,12/15/2024,SQ *ROAST COFFEE COMPANY,Food & Drink,Sale,-12.95,
12/15/2024,12/15/2024,UBER   *EATS,Food & Drink,Sale,-36.79,
12/14/2024,12/15/2024,ALREEM LOUNGE 8 REST,Food & Drink,Sale,-18.02,
12/14/2024,12/15/2024,SQ *CJ ENTERPRISE,Shopping,Sale,-30.00,
12/10/2024,12/10/2024,Payment Thank You-Mobile,,Payment,300.00,
12/10/2024,12/10/2024,Payment Thank You-Mobile,,Payment,200.00,
12/10/2024,12/10/2024,Payment Thank You Bill Pa,,Payment,800.00,
12/03/2024,12/06/2024,SOUTHWES    5262586247517,Travel,Sale,-273.98,
12/05/2024,12/05/2024,Payment Thank You-Mobile,,Payment,500.00,
11/22/2024,11/22/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-135.88,
11/13/2024,11/13/2024,Payment Thank You-Mobile,,Payment,300.00,
11/13/2024,11/13/2024,Payment Thank You-Mobile,,Payment,700.00,
10/31/2024,11/01/2024,J-GRIFF,Professional Services,Sale,-5697.00,
10/31/2024,10/31/2024,Payment Thank You-Mobile,,Payment,500.00,
10/23/2024,10/23/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-63.55,
10/20/2024,10/20/2024,AUTOMATIC PAYMENT - THANK,,Payment,101.00,
09/23/2024,09/23/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-67.70,
09/20/2024,09/20/2024,AUTOMATIC PAYMENT - THANK,,Payment,95.00,
08/23/2024,08/23/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-61.80,
08/22/2024,08/22/2024,GOOGLE *ADS3519669509,Professional Services,Sale,-200.00,
08/20/2024,08/20/2024,AUTOMATIC PAYMENT - THANK,,Payment,77.00,
08/18/2024,08/19/2024,Experian* Credit Report,Professional Services,Sale,-24.99,
08/16/2024,08/18/2024,Fiverr,Personal,Sale,-18.83,
08/01/2024,08/02/2024,GOOGLE *ADS3519669509,Professional Services,Sale,-161.03,
08/01/2024,08/02/2024,GOOGLE *ADS6446937921,Professional Services,Sale,-47.53,
08/01/2024,08/02/2024,GOOGLE *ADS9148409960,Professional Services,Sale,-133.89,
07/23/2024,07/23/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-49.51,
07/18/2024,07/19/2024,Experian* Credit Report,Professional Services,Sale,-24.99,
07/14/2024,07/16/2024,UNITED      0164417796792,Travel,Sale,-40.00,
07/06/2024,07/08/2024,UNITED      0162402743573,Travel,Sale,-112.78,
07/03/2024,07/04/2024,Fiverr,Personal,Sale,-8.28,
07/02/2024,07/03/2024,Fiverr,Personal,Sale,-8.28,
07/02/2024,07/03/2024,Fiverr,Personal,Sale,-8.28,
07/02/2024,07/03/2024,Fiverr,Personal,Sale,-8.28,
07/01/2024,07/02/2024,GOOGLE *ADS9148409960,Professional Services,Sale,-229.57,
07/01/2024,07/02/2024,GOOGLE *ADS6446937921,Professional Services,Sale,-268.08,
07/01/2024,07/02/2024,GOOGLE *ADS3519669509,Professional Services,Sale,-114.05,
06/26/2024,06/27/2024,Fiverr,Personal,Sale,-8.28,
06/25/2024,06/25/2024,Payment Thank You-Mobile,,Payment,1000.00,
06/23/2024,06/23/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-56.95,
06/20/2024,06/21/2024,TST* PANDA EXPRESS - IHA,Food & Drink,Sale,-10.56,
06/18/2024,06/19/2024,Experian* Credit Report,Professional Services,Sale,-24.99,
06/12/2024,06/12/2024,Payment Thank You-Mobile,,Payment,1000.00,
06/08/2024,06/09/2024,EMBODIED INTEGRATION,Health & Wellness,Sale,-1500.00,
06/07/2024,06/09/2024,GOOGLE *ADS3519669509,Professional Services,Sale,-50.00,
06/05/2024,06/07/2024,SPIRIT AIRL 4870395407164,Travel,Sale,-99.09,
06/05/2024,06/06/2024,SPIRIT TRAVEL GUARD,Bills & Utilities,Sale,-17.50,
06/05/2024,06/06/2024,SQ *THE WHEEL KITCHEN,Food & Drink,Sale,-29.78,
06/04/2024,06/05/2024,GOOGLE *ADS3519669509,Professional Services,Sale,-10.00,
06/03/2024,06/05/2024,STARBUCKS STORE 22429,Food & Drink,Sale,-6.36,
06/01/2024,06/02/2024,GOOGLE *ADS9148409960,Professional Services,Sale,-14.58,
05/30/2024,05/30/2024,Payment Thank You-Mobile,,Payment,1000.00,
05/24/2024,05/26/2024,Fiverr,Personal,Sale,-65.80,
05/23/2024,05/23/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-55.05,
05/21/2024,05/22/2024,HIGHLEVEL INC.,Shopping,Sale,-10.00,
05/18/2024,05/19/2024,Experian* Credit Report,Professional Services,Sale,-24.99,
05/15/2024,05/16/2024,TEXAS ROADHOUSE #2393,Food & Drink,Sale,-28.87,
05/14/2024,05/16/2024,TST* BOWLSKIS,Food & Drink,Sale,-19.82,
05/15/2024,05/16/2024,KROGER #117,Groceries,Sale,-5.95,
05/14/2024,05/16/2024,USA VAPOR &amp; CIGAR,Shopping,Sale,-19.47,
05/14/2024,05/15/2024,PANDA EXPRESS #992,Food & Drink,Sale,-13.86,
05/14/2024,05/15/2024,7-ELEVEN 34112,Gas,Sale,-4.21,
05/14/2024,05/15/2024,HIGHLEVEL INC.,Shopping,Sale,-10.00,
05/11/2024,05/14/2024,OISHII SMU,Food & Drink,Sale,-33.10,
05/12/2024,05/13/2024,HIGHLEVEL INC.,Shopping,Sale,-10.00,
05/12/2024,05/13/2024,WAL-MART #5823,Groceries,Sale,-35.46,
05/09/2024,05/12/2024,THE GREEN ELEPHANT,Food & Drink,Sale,-20.46,
05/10/2024,05/12/2024,WAL-MART #5823,Groceries,Sale,-6.98,
05/10/2024,05/12/2024,BARLEY HOUSE - TX,Food & Drink,Sale,-23.05,
05/09/2024,05/10/2024,SQ *HERB'S HOUSE COFFEE +,Food & Drink,Sale,-14.01,
05/09/2024,05/10/2024,TST* LA LA LAND KIND CAFE,Food & Drink,Sale,-16.15,
05/09/2024,05/09/2024,Payment Thank You-Mobile,,Payment,500.00,
05/07/2024,05/09/2024,REGGIO'S CONNECT ORD,Food & Drink,Sale,-13.40,
05/08/2024,05/09/2024,WALGREENS #6660,Health & Wellness,Sale,-15.99,
05/06/2024,05/08/2024,LC-BOTANICS,Shopping,Sale,-12.55,
05/06/2024,05/08/2024,LC-BOTANICS,Shopping,Sale,-2.10,
05/06/2024,05/07/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-3.08,
05/05/2024,05/07/2024,LC-BOTANICS,Shopping,Sale,-14.69,
05/06/2024,05/07/2024,SQ *THE CHOCOLATE FACTORY,Food & Drink,Sale,-3.52,
05/06/2024,05/07/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-14.63,
05/04/2024,05/06/2024,KING`S WOK,Food & Drink,Sale,-11.59,
05/06/2024,05/06/2024,HIGHLEVEL AGENCY SUB,Shopping,Sale,-198.99,
05/04/2024,05/06/2024,PEWAUKEE CITGO,Gas,Sale,-10.27,
05/04/2024,05/05/2024,WAL-MART #1678,Shopping,Sale,-12.97,
05/03/2024,05/05/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-7.54,
05/03/2024,05/05/2024,PARK AVENUE PIZZA COMPANY,Food & Drink,Sale,-15.13,
05/04/2024,05/05/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-6.04,
05/04/2024,05/05/2024,SQ *GREEN SWAN HEMP COMPA,Shopping,Sale,-14.70,
05/03/2024,05/05/2024,SQ *GREEN SWAN HEMP COMPA,Shopping,Sale,-21.00,
05/02/2024,05/03/2024,PANDA EXPRESS #2850,Food & Drink,Sale,-13.97,
04/30/2024,05/02/2024,CHICK-FIL-A #04291,Food & Drink,Sale,-10.54,
05/01/2024,05/02/2024,SQ *GREEN SWAN HEMP COMPA,Shopping,Sale,-15.22,
05/01/2024,05/02/2024,SIERRA #0067,Shopping,Sale,-17.84,
05/01/2024,05/02/2024,MARSHALLS #220,Shopping,Sale,-13.64,
05/01/2024,05/02/2024,SQ *THE CHOCOLATE FACTORY,Food & Drink,Sale,-6.57,
05/01/2024,05/02/2024,WAL-MART #1678,Groceries,Sale,-4.08,
05/01/2024,05/02/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-5.91,
05/01/2024,05/02/2024,GOOGLE *ADS9148409960,Professional Services,Sale,-147.19,
04/30/2024,05/01/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-6.52,
04/30/2024,05/01/2024,SQ *GREEN SWAN HEMP COMPA,Shopping,Sale,-14.70,
04/30/2024,05/01/2024,SQ *GREEN SWAN HEMP COMPA,Shopping,Sale,-14.70,
04/30/2024,05/01/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-6.04,
04/26/2024,04/28/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-11.94,
04/26/2024,04/28/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Return,10.38,
04/27/2024,04/28/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-8.15,
04/27/2024,04/28/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-18.28,
04/27/2024,04/28/2024,SQ *GREEN SWAN HEMP COMPA,Shopping,Sale,-94.50,
04/26/2024,04/28/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-6.56,
04/24/2024,04/25/2024,SQ *THE CHOCOLATE FACTORY,Food & Drink,Sale,-12.06,
04/23/2024,04/24/2024,SQ *THE CHOCOLATE FACTORY,Food & Drink,Sale,-15.06,
04/23/2024,04/23/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-50.93,
04/21/2024,04/23/2024,LC-BOTANICS,Shopping,Sale,-14.69,
04/19/2024,04/21/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-7.54,
04/20/2024,04/21/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-13.14,
04/20/2024,04/21/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-6.04,
04/19/2024,04/21/2024,SQ *THE CHOCOLATE FACTORY,Food & Drink,Sale,-11.54,
04/19/2024,04/21/2024,UNITED      0164294143749,Travel,Sale,-35.00,
04/19/2024,04/21/2024,SQ *THE CHOCOLATE FACTORY,Food & Drink,Sale,-6.92,
04/19/2024,04/19/2024,Payment Thank You-Mobile,,Payment,500.00,
04/18/2024,04/19/2024,Experian* Credit Report,Professional Services,Sale,-24.99,
04/17/2024,04/18/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-7.54,
04/15/2024,04/17/2024,KING`S WOK,Food & Drink,Sale,-11.76,
04/15/2024,04/17/2024,LC-BOTANICS,Shopping,Sale,-12.55,
04/14/2024,04/16/2024,PAR*SMOOTHIE KING SK1881,Food & Drink,Sale,-17.61,
04/15/2024,04/16/2024,SQ *THE CHOCOLATE FACTORY,Food & Drink,Sale,-6.21,
04/13/2024,04/15/2024,TROPICAL SMOOTHIE CAFE WI,Food & Drink,Sale,-15.55,
04/12/2024,04/14/2024,WELLNESS BY VCT LLC,Shopping,Sale,-24.78,
04/10/2024,04/12/2024,UNITED      0162379595355,Travel,Sale,-11.50,
04/11/2024,04/12/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-6.56,
04/09/2024,04/10/2024,TROPICAL SMOOTHIE CAFE WI,Food & Drink,Sale,-16.78,
04/08/2024,04/09/2024,SQ *BREWERS TWO CAFE COFF,Food & Drink,Sale,-6.56,
04/07/2024,04/08/2024,WAL-MART #1678,Groceries,Sale,-8.80,
04/06/2024,04/08/2024,CHICK-FIL-A #03601,Food & Drink,Sale,-14.66,
04/06/2024,04/07/2024,UNITED      0162378538726,Travel,Sale,-154.10,
04/06/2024,04/07/2024,HIGHLEVEL * TRIAL OVER,Shopping,Sale,-198.99,
04/04/2024,04/05/2024,HIGHLEVEL INC.,Shopping,Sale,-20.07,
04/04/2024,04/04/2024,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,9.30,
04/04/2024,04/04/2024,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,53.36,
04/04/2024,04/04/2024,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,24.99,
04/04/2024,04/04/2024,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,500.00,
04/04/2024,04/04/2024,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,11.40,
04/04/2024,04/04/2024,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,12.97,
04/04/2024,04/04/2024,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,32.11,
04/01/2024,04/03/2024,KWIK TRIP #184,Gas,Sale,-32.11,
04/01/2024,04/02/2024,GOOGLE *ADS9148409960,Professional Services,Sale,-53.36,
03/29/2024,03/31/2024,CHICK-FIL-A #03859,Food & Drink,Sale,-14.57,
03/28/2024,03/29/2024,GOOGLE *ADS9148409960,Professional Services,Sale,-500.00,
03/21/2024,03/24/2024,UNIV OF WIPLATTEVILLE,Education,Sale,-400.00,
03/21/2024,03/24/2024,NBS*NBSUWP SERVICE FEE,Education,Sale,-11.40,
03/22/2024,03/22/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-44.50,
03/21/2024,03/21/2024,Payment Thank You-Mobile,,Payment,600.00,
03/18/2024,03/19/2024,Experian* Credit Report,Professional Services,Sale,-24.99,
03/06/2024,03/08/2024,FAMOUS FAMIGLIA MCO,Food & Drink,Sale,-12.97,
03/07/2024,03/07/2024,Payment Thank You-Mobile,,Payment,400.00,
03/05/2024,03/07/2024,GUSTOS CAFE TB LMMIA,Food & Drink,Sale,-9.30,
03/06/2024,03/07/2024,VIENA SNACK TC     QPS,Food & Drink,Sale,-5.89,
03/05/2024,03/07/2024,VIENA SNACK TC     QPS,Food & Drink,Sale,-14.98,
03/06/2024,03/06/2024,UBER   TRIP,Travel,Sale,-59.47,
03/01/2024,03/03/2024,GOOGLE *ADS6446937921,Professional Services,Sale,-247.59,
03/01/2024,03/03/2024,GOOGLE *ADS9148409960,Professional Services,Sale,-66.46,
03/01/2024,03/03/2024,GOOGLE *ADS2700665497,Professional Services,Sale,-180.11,
03/01/2024,03/03/2024,GOOGLE *ADS5464112998,Professional Services,Sale,-200.38,
02/29/2024,02/29/2024,Payment Thank You-Mobile,,Payment,800.00,
02/26/2024,02/27/2024,GOOGLE *ADS9148409960,Professional Services,Sale,-500.00,
02/23/2024,02/23/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-32.24,
02/21/2024,02/22/2024,GOOGLE *ADS5464112998,Professional Services,Sale,-200.00,
02/07/2024,02/07/2024,Payment Thank You-Mobile,,Payment,800.00,
02/04/2024,02/05/2024,USPS CHANGE OF ADDRESS,Shopping,Sale,-1.10,
02/03/2024,02/04/2024,APF*Saint Augustine Unive,Professional Services,Sale,-538.14,
